cluster_representative	cluster_component
64-DEFFA@yana	64-DEFFA@yana
64-DEFFA@yana	65-DEFFA@yana
64-DEFFA@yana	66-DEFFA@yana
64-DEFFA@yana	67-DEFFA@yana
64-DEFFA@yana	68-DEFFA@yana
64-DEFFA@yana	50-DEFFA@yana
64-DEFFA@yana	51-DEFFA@yana
64-DEFFA@yana	52-DEFFA@yana
64-DEFFA@yana	53-DEFFA@yana
64-DEFFA@yana	54-DEFFA@yana
64-DEFFA@yana	55-DEFFA@yana
64-DEFFA@yana	56-DEFFA@yana
64-DEFFA@yana	57-DEFFA@yana
64-DEFFA@yana	58-DEFFA@yana
64-DEFFA@yana	59-DEFFA@yana
64-DEFFA@yana	60-DEFFA@yana
64-DEFFA@yana	61-DEFFA@yana
64-DEFFA@yana	62-DEFFA@yana
64-DEFFA@yana	63-DEFFA@yana
96-TVCHM@yana	96-TVCHM@yana
96-TVCHM@yana	97-TVCHM@yana
96-TVCHM@yana	98-TVCHM@yana
96-TVCHM@yana	88-TVCHM@yana
96-TVCHM@yana	89-TVCHM@yana
96-TVCHM@yana	90-TVCHM@yana
96-TVCHM@yana	91-TVCHM@yana
96-TVCHM@yana	92-TVCHM@yana
96-TVCHM@yana	93-TVCHM@yana
96-TVCHM@yana	94-TVCHM@yana
96-TVCHM@yana	95-TVCHM@yana
160-A41220@yana	160-A41220@yana
160-A41220@yana	161-A41220@yana
160-A41220@yana	162-A41220@yana
160-A41220@yana	163-A41220@yana
160-A41220@yana	164-A41220@yana
160-A41220@yana	165-A41220@yana
160-A41220@yana	166-A41220@yana
160-A41220@yana	167-A41220@yana
192-A33391@yana	192-A33391@yana
192-A33391@yana	193-A33391@yana
192-A33391@yana	194-A33391@yana
192-A33391@yana	195-A33391@yana
192-A33391@yana	196-A33391@yana
192-A33391@yana	179-A33391@yana
192-A33391@yana	180-A33391@yana
192-A33391@yana	181-A33391@yana
192-A33391@yana	182-A33391@yana
192-A33391@yana	64438-CANB1_HUMAN@pmd
192-A33391@yana	183-A33391@yana
