cluster_representative	cluster_component
31475-GHR_HUMAN@pmd	31475-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31476-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31445-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31477-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31446-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31478-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31447-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31479-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31448-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31480-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31449-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31481-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31450-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31482-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31451-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31483-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31452-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31484-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31453-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31454-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31455-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31456-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31457-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31458-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31459-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31460-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31461-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31462-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31463-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31464-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31465-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31466-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31467-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31468-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31469-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31470-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31471-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31472-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31473-GHR_HUMAN@pmd
31475-GHR_HUMAN@pmd	31474-GHR_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31544-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31545-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31546-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31547-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31548-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31549-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31550-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31523-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31524-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31525-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31526-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31527-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31528-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31529-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31530-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31531-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31532-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31533-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31534-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31535-GSTP1_HUMAN@pmd
